"Category","Description","Data.Carbohydrate","Data.Fiber","Data.Kilocalories","Data.Protein","Data.Sugar Total","Data.Water","Data.Fat.Saturated Fat","Data.Fat.Total Lipid"
"MUSTARD SEED","MUSTARD SEED,YELLOW",34.94,14.69999981,469,24.94,6.789999962,6.86,1.46,28.76
"NUTMEG","NUTMEG,GROUND",49.29,20.79999924,525,5.84,28.48999977,6.23,25.94,36.31
"No Category","ONION POWDER",80.67,5.699999809,347,10.12,35.47999954,5.01,0.183,1.05
"SPICES","SPICES,OREGANO,DRIED",64.43,42.79999924,306,11,4.090000153,7.16,2.66,10.25
"No Category","PAPRIKA",55.74,37.40000153,289,14.76,10.34000015,9.54,2.1,12.95
"PARSLEY","PARSLEY,DRIED",51.66,30.39999962,276,22.42,7.269999981,9.02,0.115,4.43
"PEPPER","PEPPER,BLACK",64.81,26.5,255,10.95,0.639999986,10.51,0.98,3.26
"PEPPER","PEPPER,RED OR CAYENNE",56.63,27.20000076,318,12.01,10.34000015,8.05,3.26,17.27
"PEPPER","PEPPER,WHITE",68.61,26.20000076,296,10.4,0,11.42,0.626,2.12
"No Category","POPPY SEED",28.13,19.5,525,17.99,2.99000001,5.95,4.517,41.56
"No Category","POULTRY SEASONING",65.59,11.30000019,307,9.59,3.079999924,9.31,3.29,7.53
"No Category","PUMPKIN PIE SPICE",69.28,14.80000019,342,5.76,7.760000229,8.46,6.53,12.6
"ROSEMARY","ROSEMARY,DRIED",64.06,42.59999847,331,4.88,0,9.31,7.371,15.22
"No Category","SAFFRON",65.37,3.900000095,310,11.43,0,11.9,1.586,5.85
"SAGE","SAGE,GROUND",60.73,40.29999924,315,10.63,1.710000038,7.96,7.03,12.75
"SAVORY","SAVORY,GROUND",68.73,45.70000076,272,6.73,0,9,3.26,5.91
"SPICES","SPICES,TARRAGON,DRIED",50.22,7.400000095,295,22.77,0,7.74,1.881,7.24
"SPICES","SPICES,THYME,DRIED",63.94,37,276,9.11,1.710000038,7.79,2.73,7.43
"TURMERIC","TURMERIC,GROUND",64.93,21.10000038,354,7.83,3.210000038,11.36,3.12,9.88
"BASIL","BASIL,FRESH",2.65,1.600000024,23,3.15,0.300000012,92.06,0.041,0.64
"DILL WEED","DILL WEED,FRSH",7.02,2.099999905,43,3.46,0,85.95,0.06,1.12
